,
01_prenom,02_genre
antonija,f
Antonin,m
antonina,f
antonino,m
Antonio,m
antonius,m
antono,m
Antony,m
antti,m
antun,m
antwan,m
anubis,m
anunciación,f
anupam,m
anushka,f
anwar,m
anwen,f
anwer,m
Anya,f
aodh,m
aodhán,m
aoibheann,f
aoibhín,f
aoide,f
aoife,f
aonghas,m
aonghus,m
aphra,f
aphrodisia,f
aphrodisios,m
aphrodite,f
apikalia,f
apolinar,m
apollinaire,m
apollinaris,m
apollinariya,f
Apolline,f
apollo,m
apollodoros,m
apollonia,f
apollonios,m
apolonija,f
apostolis,m
apostolos,m
apphia,f
appius,m
Appoline,f
april,f
aquila,m
arabella,f
araceli,f
aracelis,f
aracely,f
arachne,f
aragorn,m
araminta,f
aran,f
aranka,f
aranrhod,f
arantxa,f
aras,m
arata,m
aravinda,m
arcadia,f
arcangelo,m
arcelia,f
archelaus,m
Archibald,m
archie,m
archimedes,m
archippos,m
Arda,m
ardal,m
ardashir,m
arden,m
ardghal,m
arduino,m
areli,m
ares,m
aretha,f
arethusa,f
arevig,f
argus,m
argyris,m
argyros,m
Ari,m
ari (1),m
ari (2),m
aria,f
ariadne,f
Ariana,f
Ariane,f
arianna,f
arianne,f
arianrhod,f
aric,m
Arie,m
Ariel,f
ariella,f
Arielle,f
arienne,f
aries,m
Arij,f
arik,m
arina,f
Aris,m
arisha,f
arista,f
Aristide,m
aristides,m
aristocles,m
aristodemos,m
aristomache,f
ariston,m
aristophanes,m
aristotle,m
arisu,f
arisztid,m
arjan,m
arjun,m
arjuna,m
arkadi,m
arkadios,m
arkady,m
arkell,m
arleen,f
arlen,m
arlene,f
arlette,f
arlie,"f,m"
arline,f
Arman,m
Armance,f
Armand,m
armando,m
Armel,m
Armelle,f
armin,m
armo,m
arn,m
arnaldo,m
arnau,m
Arnaud,m
arnaude,f
arndt,m
arne (1),m
arne (2),m
arnie,m
Arno,m
arnold,m
aroha,f
aroldo,m
Aron,m
áron,m
árpád,m
arrigo,m
arron,m
arsen,m
Arsène,m
arseni,m
arsenios,m
art,m
artair,m
artemidoros,m
Artemis,f
artemisia,f
artemisios,m
Arthur,m
Arthus,m
Arto,m
arttu,m
artturi,m
artur,m
artúr,m
arturo,m
Artus,m
arundhati,f
arvel,m
arvid,m
arvo,m
Arwa,f
Arwen,f
aryana,f
arzu,f
as'ad,m
asa,m
åsa,f
asad,m
asaf,m
asaph,m
asbjörn,m
ásdís,f
asdrubal,m
aseem,m
asenath,f
ash,"m,f"
asha,f
ashanti,f
asher,m
asherah,f
ashlee,f
ashleigh,f
Ashley,f
ashlie,f
ashling,f
ashlyn,f
ashlynn,f
ashok,m
ashoka,m
ashtad,m
ashton,"m,f"
ashtoreth,f
Asia,f
asim,m
asklepiades,m
asklepios,m
aslaug,f
asli,f
aslög,f
asløg,f
Asma,f
Asmaa,f
aspasia,f
aspen,f
Assa,f
Assetou,f
Assia,f
Assil,f
assumpció,f
assumpta,f
assunta,f
Assya,f
asta,f
astaroth,f
astarte,f
astor,m
Astou,f
astra,f
astraea,f
Astrid,f
astrithr,f
astrophel,m
asunción,f
asya,f
ata,m
atalanta,f
atallah,m
atara,f
atarah,f
ataullah,m
atefeh,f
athanas,m
athanasia,f
athanasios,m
athanasius,m
athelstan,m
Athena,f
Athéna,f
Athenaïs,f
athenias,f
atieno,f
atilio,m
atílio,m
atiya,f
atlas,m
atticus,m
attila,m
attilio,m
auberon,m
Aubin,m
aubree,f
aubrey,"m,f"
Aude,f
audie,f
audley,m
audra (1),f
audra (2),f
audrea,f
Audrey,f
august (1),m
august (2),m
augusta,f
Auguste,m
augustijn,m
Augustin,m
Augustine,f
augusto,m
